"Id","Category","Name","Address","Lat","Long","subcategory","note","Opening","Closing","Creator","Created","Valid","Version","Source"
"knd0015","Scuola Materna","Lanzarini","via  Marziale, 10, Bologna BO, Italy","44.531681","11.351279","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0016","Scuola Materna","Manzini","Piazza Giovanni da Verazzano, 1, Bologna BO, Italy","44.518619","11.326924","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0017","Scuola Materna","Marsili","via  Colombarola, 38/6, Bologna BO, Italy","44.544344","11.357195","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0018","Scuola Materna","Neri Attilia","via  Colombarola, 38/6, Bologna BO, Italy","44.544344","11.357195","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0019","Scuola Materna","Zucchelli","via  Ca' Bianca, 13 /2, Bologna BO, Italy","44.523911","11.322076","comunale","","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0020","Scuola Materna","Dozza","via  della Dozza, 8, Bologna BO, Italy","44.529724","11.365238","statale","(Ist. Comp. 15)","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0021","Scuola Materna","Coop Azzurra Statale","via  della Beverara, 188, Bologna BO, Italy","44.522264","11.331306","statale","(Ist. Comp. 3)","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0022","Scuola Materna","Succ. Dozza ""il Flauto Magico""","via  Lombardi, 40, Bologna BO, Italy","44.516292"," 11.35131","statale","(Ist. Comp. 15)","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0023","Scuola Materna","Girotondo","via  Pettazzoni, 1, Bologna BO, Italy","44.542559","11.356417","statale","(Ist. Comp. 4)","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
"knd0024","Scuola Materna","Nuova Scuola Infanzia Navile","via  C. da Bologna BO, 29, Bologna BO, Italy","44.49419 ","11.346519","statale","(Ist. Comp. 5)","Mon, Tue, Wed, Thu, Fri: 0730-1730.","01-01, 01-06, P, LA, 04-25, 05-01, 06-02, 07-15, 07-01, 12-08, 12-25, 12-26, -08-: .","Working Group LTW 2011/2012","2011-12-20","2012-10-01","1.1","Unknown"
